square_feet,bedrooms,bathrooms,year_built,house_price
2184,4,1.5,2005,451900.0
2059,5,1.0,2014,460900.0
3153,4,2.0,1980,531300.0
2716,5,1.0,1992,504600.0
2335,3,1.5,1992,434000.0
2263,3,1.5,1993,427800.0
3231,4,1.5,1983,534600.0
2883,4,1.5,1993,509800.0
2533,3,2.0,1988,457300.0
3247,3,1.5,1997,530200.0
1777,3,1.5,2011,397200.0
3278,3,1.5,2012,548300.0
3328,3,2.0,2020,568800.0
2099,5,1.0,1997,447900.0
2594,3,2.0,1986,461400.0
2996,5,1.0,1982,522600.0
2100,5,1.0,2014,465000.0
2920,2,2.0,1992,480000.0
1814,4,1.5,1997,406900.0
2205,4,1.5,2003,452000.0
3010,4,1.5,2020,549500.0
2051,3,1.0,1995,401100.0
1587,2,2.0,2014,368700.0
1674,4,1.5,2015,410900.0
3124,2,1.0,2008,501400.0
2349,2,1.5,2010,433400.0
3201,3,2.0,2017,553100.0
2037,4,2.0,2021,460700.0
2345,5,1.5,2019,502000.0
1572,5,1.5,2004,409700.0
2277,2,1.5,1985,401200.0
3440,3,1.0,2013,558000.0
1615,5,1.5,2004,414000.0
2476,5,1.5,2003,499100.0
2255,4,1.5,2021,475000.0
3233,3,2.0,2010,549300.0
3371,2,1.5,2021,546600.0
2955,5,1.5,2007,551000.0
1948,4,2.0,2007,437800.0
2350,4,2.0,2013,484000.0
1599,4,1.5,2008,396400.0
2701,4,1.0,2019,510100.0
2255,4,1.5,1998,452000.0
2297,3,2.0,2004,449700.0
2159,4,2.0,1991,442900.0
2671,3,1.5,1994,469600.0
2410,4,2.0,1985,462000.0
1923,2,1.0,2016,389300.0
2812,3,1.5,1981,470700.0
3485,2,1.0,1997,526500.0
2789,5,1.5,1997,524400.0
2197,3,1.5,2021,449200.0
2139,4,1.0,1984,418900.0
2044,4,1.5,2012,444900.0
2043,3,1.0,1997,402300.0
2214,5,1.5,2015,484900.0
1744,4,2.0,1984,394400.0
1651,3,1.0,2013,379100.0
2175,3,1.0,1987,405500.0
2010,4,1.5,1992,421500.0
2983,4,1.0,1996,515300.0
2382,5,1.0,2017,496200.0
2707,4,2.0,1998,504700.0
