square_feet,bedrooms,bathrooms,year_built,house_price
2184,3,2.0,2012,446400.0
2059,3,1.0,2016,422900.0
3153,2,1.5,2014,517800.0
2716,5,1.5,2019,539100.0
2335,2,1.5,1995,417000.0
2263,4,2.0,1990,452300.0
3231,3,1.5,2014,545600.0
2883,4,1.5,1996,512800.0
2533,3,1.5,2003,464800.0
3247,5,1.0,1983,548700.0
1777,3,1.5,1987,373200.0
3278,4,1.5,1990,546300.0
3328,4,1.5,2017,578300.0
2099,5,1.0,2012,462900.0
2594,5,1.5,2020,527900.0
2996,5,2.0,1988,543600.0
2100,3,1.0,2004,415000.0
2920,4,1.5,2005,525500.0
1814,5,1.5,1986,415900.0
2205,5,1.0,2012,473500.0
3010,3,1.0,1996,498000.0
2051,5,1.5,2010,463600.0
1587,3,1.0,1986,345700.0
1674,3,1.0,1996,364400.0
3124,2,1.5,1983,483900.0
2349,3,2.0,1991,441900.0
3201,3,2.0,2021,557100.0
2037,4,1.5,2001,433200.0
2345,5,2.0,1986,476500.0
1572,5,1.5,1989,394700.0
2277,5,1.5,2003,479200.0
3440,4,1.0,2004,569000.0
1615,5,2.0,1983,400500.0
2476,2,1.5,2009,445100.0
2255,3,2.0,2009,450500.0
3233,4,1.5,1986,537800.0
3371,2,2.0,1987,520100.0
2955,5,1.5,2017,561000.0
1948,5,1.5,1997,440300.0
2350,2,2.0,2012,443000.0
1599,3,1.5,2010,378400.0
2701,2,2.0,1982,448100.0
2255,4,1.5,2016,470000.0
2297,5,1.5,2002,480200.0
2159,3,2.0,2012,443900.0
2671,2,2.0,2009,472100.0
2410,2,1.0,2002,424000.0
1923,2,2.0,2008,396300.0
2812,5,2.0,1988,525200.0
3485,5,1.5,1988,585000.0
2789,4,2.0,1994,508900.0
2197,3,1.5,2011,439200.0
2139,5,2.0,1992,461900.0
2044,4,1.5,1993,425900.0
2043,3,1.5,2006,418800.0
2214,5,1.5,2021,490900.0
1744,5,1.0,1999,414400.0
1651,4,1.5,2017,410600.0
2175,3,1.0,1991,409500.0
2010,4,1.0,2020,442000.0
2983,2,1.5,1996,482800.0
2382,3,1.5,2011,457700.0
2707,2,2.0,2005,471700.0
1528,3,1.0,2018,371800.0
2302,3,1.5,2019,457700.0
1628,4,1.0,2018,401800.0
1628,4,1.5,2006,397300.0
3456,4,1.5,2001,575100.0
2577,4,1.0,2000,478700.0
3425,5,1.0,2000,583500.0
3074,4,2.0,1982,525400.0
3012,3,1.5,2020,529700.0
2256,2,1.5,2012,426100.0
1773,3,2.0,1982,375300.0
1835,4,1.5,2016,428000.0
1888,2,1.5,1985,362300.0
3141,5,1.5,2003,565600.0
2566,3,1.0,2004,461600.0
2966,5,1.5,2015,560100.0
2043,4,1.0,1997,422300.0
2388,4,2.0,1983,457800.0
1757,3,1.0,2004,380700.0
2845,4,1.5,1992,505000.0
3461,4,2.0,2003,585100.0
1557,3,1.5,2021,385200.0
1791,5,1.5,1995,422600.0
3394,5,2.0,2012,607400.0
2643,2,1.5,1982,434800.0
2279,4,1.5,1983,439400.0
1930,5,1.0,2011,445000.0
2606,2,1.0,2003,444600.0
1591,4,1.5,2000,387600.0
3420,2,1.0,2005,528000.0
1898,4,1.0,2012,422800.0
2111,2,2.0,2013,420100.0
3089,3,1.5,2014,531400.0
2408,2,1.5,1998,427300.0
2133,2,2.0,2003,412300.0
3462,5,1.5,2008,602700.0
1584,4,1.0,2004,383400.0
1703,4,2.0,2000,406300.0
1824,2,2.0,1985,363400.0
2274,3,1.5,2016,451900.0
2464,5,1.0,1982,469400.0
2571,5,1.5,1996,501600.0
2139,5,1.0,1984,438900.0
2655,5,2.0,1997,518500.0
2472,2,1.5,1995,430700.0
